row,col,vckss_mean,vckss_min,vckss_max,matlab
worker_variance,worker_variance,0.0012295592408307146,0.0012140360995662857,0.001235858549220133,0.001859012918812924
worker_variance,firm_variance,0.00039142633068887386,0.00037649164101701617,0.00039744039255196824,
worker_variance,worker_firm_covariance,-0.0007196652570485901,-0.0007257928571641893,-0.0007044197424117249,
worker_variance,total_variance,0.00018165505742240846,0.00018141977271834107,0.00018184595119437883,
firm_variance,worker_variance,0.00039142633068887386,0.00037649164101701617,0.00039744039255196824,
firm_variance,firm_variance,0.0008451956652866947,0.0008311146072100618,0.0008509580965866289,0.0005418816902194064
firm_variance,worker_firm_covariance,-0.0005712315606969772,-0.0005771061095210389,-0.0005567457978379651,
firm_variance,total_variance,9.415887458161416e-05,9.389235095805856e-05,9.436932992343879e-05,
worker_firm_covariance,worker_variance,-0.0007196652570485901,-0.0007257928571641893,-0.0007044197424117249,
worker_firm_covariance,firm_variance,-0.0005712315606969772,-0.0005771061095210389,-0.0005567457978379651,
worker_firm_covariance,worker_firm_covariance,0.0006405092090585485,0.0006256474480247348,0.0006464981285869029,0.0007392631237242558
worker_firm_covariance,total_variance,-9.878399628470216e-06,-1.0094360794901539e-05,-9.627434626156796e-06,
total_variance,worker_variance,0.00018165505742240846,0.00018141977271834107,0.00018184595119437883,
total_variance,firm_variance,9.415887458161416e-05,9.389235095805856e-05,9.436932992343879e-05,
total_variance,worker_firm_covariance,-9.878399628470216e-06,-1.0094360794901539e-05,-9.627434626156796e-06,
total_variance,total_variance,0.00025605713274708217,0.0002560252583924654,0.00025611497148028553,
