kind,seed,row,col,value
component_V,505,worker_variance,worker_variance, 1.23162750785589027e-03
component_V,505,worker_variance,firm_variance, 3.92937471228583656e-04
component_V,505,worker_variance,worker_firm_covariance,-7.21359513945047520e-04
component_V,505,worker_variance,total_variance, 1.81845951194378828e-04
component_b,505,,firm_variance, 5.29295236124290303e-01
component_V,505,firm_variance,worker_variance, 3.92937471228583656e-04
component_V,505,firm_variance,firm_variance, 8.46027184939608505e-04
component_V,505,firm_variance,worker_firm_covariance,-5.72297663122376711e-04
component_V,505,firm_variance,total_variance, 9.43693299234387925e-05
component_b,505,,worker_firm_covariance,-4.45046300341178647e-02
component_V,505,worker_firm_covariance,worker_variance,-7.21359513945047520e-04
component_V,505,worker_firm_covariance,firm_variance,-5.72297663122376711e-04
component_V,505,worker_firm_covariance,worker_firm_covariance, 6.41781408136261346e-04
component_V,505,worker_firm_covariance,total_variance,-1.00943607949015388e-05
component_b,505,,total_variance, 1.47107614041054235e+00
component_V,505,total_variance,worker_variance, 1.81845951194378828e-04
component_V,505,total_variance,firm_variance, 9.43693299234387925e-05
component_V,505,total_variance,worker_firm_covariance,-1.00943607949015388e-05
component_V,505,total_variance,total_variance, 2.56026559528014543e-04
