firms,workers,rows,probes,jobs,matlab_numerically_accepted_jobs,matlab_numerically_rejected_jobs,stata_command_median_seconds,matlab_command_median_seconds,stata_over_matlab_median_ratio,accepted_scaled_gap_median,accepted_scaled_gap_maximum
64,2560,7680,20,6,6,0,1.991,3.2595555000000003,0.6163299321887792,0.00012105922549482542,0.00012540925981362108
256,10240,30720,20,6,6,0,6.1415,5.719956,1.0789471063847689,2.8567620637011754e-05,3.1888790879071384e-05
256,10240,30720,200,6,6,0,26.277,6.9871045,3.6854145342104934,2.7018571560524398e-05,2.7040177303115835e-05
1024,40960,122880,20,6,6,0,23.500500000000002,14.112402,1.6694614694808028,8.329610910391333e-06,1.0275297389937518e-05
1024,40960,122880,200,6,6,0,122.043,23.139783,5.274609087244137,6.6947439568845805e-06,6.88729414384498e-06
