source_label,source_commit,temperature,run,processors,probes,seed,command_s,selection_s,graph_s,compression_s,transition_s,work_s,restore_s,setup_s,fit_s,leverage_s,target_s,correction_s,rng_s,schur_s,precond_s,pcg_s,iterations,schur_actions,schur_batches,precond_apps,precond_batches,max_residual,peak_bytes,work_bytes,n_rows,cells,units,strata,workers,firms,identity_residual,r11,r21,r31,r41,r12,r22,r32,r42,r13,r23,r33,r43,r14,r24,r34,r44,result_mreldif,fe_applicable,fe_workspace_builds,fe_buffered_batches,fe_legacy_batches,fe_buffered_columns,fe_legacy_columns,fe_fallback_batches,fe_max_width,fe_workspace_bytes,fe_avoided_bytes,route,engine
baseline,7f5a38b49cccd5bf0396f62fedd542881d68bad1,cold,1,4,200,8675309,17.62,1.041,.734,.269,.003,16.039,.006,0,.056,6.193,9.746,.102,5.607999999999998,4.587000000000002,.4670000000000004,9.509,92,54074,2432,54074,2432,9.97260168089e-11,312308838,74472067,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,0,0,2432,0,54074,0,0,0,0,DIAGONAL,compressed
baseline,7f5a38b49cccd5bf0396f62fedd542881d68bad1,warm,2,4,200,8675309,17.221,.869,.73,.267,.002,16.042,.006,0,.055,6.176,9.766999999999999,.102,5.604999999999999,4.600000000000002,.4740000000000004,9.518999999999998,92,54074,2432,54074,2432,9.97260168089e-11,313555333,75515650,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,0,0,2432,0,54074,0,0,0,0,DIAGONAL,compressed
baseline,7f5a38b49cccd5bf0396f62fedd542881d68bad1,warm,3,4,200,8675309,17.249,.866,.729,.272,.002,16.07,.004,0,.054,6.188,9.782999999999999,.103,5.609999999999999,4.625000000000003,.4930000000000004,9.544999999999998,92,54074,2432,54074,2432,9.97260168089e-11,313555785,75516101,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,0,0,2432,0,54074,0,0,0,0,DIAGONAL,compressed
baseline,7f5a38b49cccd5bf0396f62fedd542881d68bad1,warm,4,4,200,8675309,17.24,.866,.73,.268,.002,16.065,.005,0,.054,6.182,9.785,.102,5.613999999999999,4.637000000000003,.4740000000000004,9.538,92,54074,2432,54074,2432,9.97260168089e-11,313556237,75516554,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,0,0,2432,0,54074,0,0,0,0,DIAGONAL,compressed
