source_label,source_commit,temperature,run,processors,probes,seed,command_s,selection_s,graph_s,compression_s,transition_s,work_s,restore_s,setup_s,fit_s,leverage_s,target_s,correction_s,rng_s,schur_s,precond_s,pcg_s,iterations,schur_actions,schur_batches,precond_apps,precond_batches,max_residual,peak_bytes,work_bytes,n_rows,cells,units,strata,workers,firms,identity_residual,r11,r21,r31,r41,r12,r22,r32,r42,r13,r23,r33,r43,r14,r24,r34,r44,result_mreldif,fe_applicable,fe_workspace_builds,fe_buffered_batches,fe_legacy_batches,fe_buffered_columns,fe_legacy_columns,fe_fallback_batches,fe_max_width,fe_workspace_bytes,fe_avoided_bytes,route,engine
candidate,1cb441f20be0d747483cd8f81746af4187192d0f,cold,1,4,200,8675309,17.249,1.056,.734,.271,.003,15.653,.005,.001,.056,6.027,9.525,.102,5.620000000000001,4.223000000000004,.4650000000000004,9.112999999999998,92,54074,2432,54074,2432,9.97260168089e-11,312310224,74473997,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,27,2373,59,53240,834,59,32,10496000,12777600000,DIAGONAL,compressed
candidate,1cb441f20be0d747483cd8f81746af4187192d0f,warm,2,4,200,8675309,16.833,.871,.728,.269,.003,15.647,.005,0,.055,6.029,9.518000000000001,.103,5.617999999999999,4.227000000000003,.4830000000000004,9.114999999999998,92,54074,2432,54074,2432,9.97260168089e-11,313557263,75517580,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,27,2373,59,53240,834,59,32,10496000,12777600000,DIAGONAL,compressed
candidate,1cb441f20be0d747483cd8f81746af4187192d0f,warm,3,4,200,8675309,16.843,.879,.73,.27,.003,15.65,.005,0,.056,6.03,9.519,.104,5.603,4.220000000000002,.4920000000000004,9.127000000000001,92,54074,2432,54074,2432,9.97260168089e-11,313557715,75518030,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,27,2373,59,53240,834,59,32,10496000,12777600000,DIAGONAL,compressed
candidate,1cb441f20be0d747483cd8f81746af4187192d0f,warm,4,4,200,8675309,16.855,.87,.729,.272,.002,15.67,.005,0,.056,6.037,9.532999999999999,.102,5.621,4.233000000000003,.4850000000000004,9.136999999999997,92,54074,2432,54074,2432,9.97260168089e-11,313558166,75518482,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,27,2373,59,53240,834,59,32,10496000,12777600000,DIAGONAL,compressed
