source_label,source_commit,temperature,run,processors,probes,seed,command_s,selection_s,graph_s,compression_s,transition_s,work_s,restore_s,setup_s,fit_s,leverage_s,target_s,correction_s,rng_s,schur_s,precond_s,pcg_s,iterations,schur_actions,schur_batches,precond_apps,precond_batches,max_residual,peak_bytes,work_bytes,n_rows,cells,units,strata,workers,firms,identity_residual,r11,r21,r31,r41,r12,r22,r32,r42,r13,r23,r33,r43,r14,r24,r34,r44,result_mreldif,route,engine
baseline,73ea94a9bfb69a2839ef66f9d9b79c219016abbe,cold,1,4,200,8675309,17.967,1.019,.729,.27,.002,16.408,.008,0,.054,6.374,9.887,.1880000000000001,5.584000000000001,4.614000000000003,.4790000000000004,9.387,92,54074,2432,54074,2432,9.97260168089e-11,310824698,74442688,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,DIAGONAL,compressed
baseline,73ea94a9bfb69a2839ef66f9d9b79c219016abbe,warm,2,4,200,8675309,17.555,.863,.727,.269,.002,16.383,.007,0,.054,6.365,9.872999999999999,.1860000000000001,5.582,4.600000000000003,.4750000000000004,9.360000000000001,92,54074,2432,54074,2432,9.97260168089e-11,311982385,75398824,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,DIAGONAL,compressed
baseline,73ea94a9bfb69a2839ef66f9d9b79c219016abbe,warm,3,4,200,8675309,17.65,.863,.726,.268,.002,16.478,.007,0,.054,6.439,9.893000000000001,.1880000000000001,5.584000000000001,4.631000000000002,.4820000000000004,9.449999999999998,92,54074,2432,54074,2432,9.97260168089e-11,311982837,75399276,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,DIAGONAL,compressed
baseline,73ea94a9bfb69a2839ef66f9d9b79c219016abbe,warm,4,4,200,8675309,17.656,.864,.727,.268,.003,16.485,.006,0,.054,6.366,9.973000000000001,.1880000000000001,5.584000000000001,4.660000000000004,.4940000000000004,9.469000000000001,92,54074,2432,54074,2432,9.97260168089e-11,311983289,75399728,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,DIAGONAL,compressed
