source_label,source_commit,temperature,run,processors,probes,seed,command_s,selection_s,graph_s,compression_s,transition_s,work_s,restore_s,setup_s,fit_s,leverage_s,target_s,correction_s,rng_s,schur_s,precond_s,pcg_s,iterations,schur_actions,schur_batches,precond_apps,precond_batches,max_residual,peak_bytes,work_bytes,n_rows,cells,units,strata,workers,firms,identity_residual,r11,r21,r31,r41,r12,r22,r32,r42,r13,r23,r33,r43,r14,r24,r34,r44,result_mreldif,fe_applicable,fe_workspace_builds,fe_buffered_batches,fe_legacy_batches,fe_buffered_columns,fe_legacy_columns,fe_fallback_batches,fe_max_width,fe_workspace_bytes,fe_avoided_bytes,route,engine
baseline,7f5a38b49cccd5bf0396f62fedd542881d68bad1,cold,1,4,200,8675309,17.643,1.036,.731,.269,.003,16.069,.006,0,.055,6.207,9.763,.103,5.589,4.632000000000002,.4670000000000004,9.554,92,54074,2432,54074,2432,9.97260168089e-11,312308838,74472067,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,0,0,2432,0,54074,0,0,0,0,DIAGONAL,compressed
baseline,7f5a38b49cccd5bf0396f62fedd542881d68bad1,warm,2,4,200,8675309,17.135,.868,.728,.268,.002,15.958,.006,0,.055,6.16,9.698,.103,5.579,4.592000000000003,.4830000000000004,9.462,92,54074,2432,54074,2432,9.97260168089e-11,313555333,75515650,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,0,0,2432,0,54074,0,0,0,0,DIAGONAL,compressed
baseline,7f5a38b49cccd5bf0396f62fedd542881d68bad1,warm,3,4,200,8675309,17.061,.864,.725,.267,.004,15.887,.005,0,.054,6.134,9.656000000000001,.101,5.572,4.553000000000003,.4880000000000004,9.404,92,54074,2432,54074,2432,9.97260168089e-11,313555785,75516102,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,0,0,2432,0,54074,0,0,0,0,DIAGONAL,compressed
baseline,7f5a38b49cccd5bf0396f62fedd542881d68bad1,warm,4,4,200,8675309,17.083,.858,.727,.268,.003,15.917,.005,0,.055,6.14,9.678000000000001,.102,5.572000000000001,4.562000000000004,.4880000000000004,9.431000000000001,92,54074,2432,54074,2432,9.97260168089e-11,313556237,75516554,60000,30000,30000,33529,10000,1000,1.29972452383e-16,1.00371244308823,.001073434001188,1.002639009087043,.0000219432816346,.506996528060734,.0003971321757404,.5065993958849937,.0000154889205791,.0024951647982507,-.0003196539759886,.0028148187742393,.0000155981026892,1.515699300745466,.0008312582249512,1.514868042520515,.0000170217943662,0,1,0,0,2432,0,54074,0,0,0,0,DIAGONAL,compressed
